sucursal,horizonte,dias,escenario_temporada,factor_temporada,tamano,bowls_estimados,kg_arroz_estimado,kg_proteina_estimado
El Refugio,30_dias,30,Temporada Baja (cuesta enero),0.85,Chico,2093.4,314.01,62.8
El Refugio,30_dias,30,Temporada Baja (cuesta enero),0.85,Mediano,3495.7,699.14,209.74
El Refugio,30_dias,30,Temporada Baja (cuesta enero),0.85,Grande,1401.0,420.29,126.09
El Refugio,30_dias,30,Temporada Normal,1.0,Chico,2462.8,369.42,73.88
El Refugio,30_dias,30,Temporada Normal,1.0,Mediano,4112.6,822.52,246.75
El Refugio,30_dias,30,Temporada Normal,1.0,Grande,1648.2,494.46,148.34
El Refugio,30_dias,30,Temporada Alta (diciembre),1.2,Chico,2955.4,443.31,88.66
El Refugio,30_dias,30,Temporada Alta (diciembre),1.2,Mediano,4935.1,987.02,296.11
El Refugio,30_dias,30,Temporada Alta (diciembre),1.2,Grande,1977.8,593.35,178.01
El Refugio,90_dias,90,Temporada Baja (cuesta enero),0.85,Chico,6280.2,942.03,188.41
El Refugio,90_dias,90,Temporada Baja (cuesta enero),0.85,Mediano,10487.1,2097.41,629.22
El Refugio,90_dias,90,Temporada Baja (cuesta enero),0.85,Grande,4202.9,1260.88,378.26
El Refugio,90_dias,90,Temporada Normal,1.0,Chico,7388.5,1108.27,221.65
El Refugio,90_dias,90,Temporada Normal,1.0,Mediano,12337.7,2467.55,740.26
El Refugio,90_dias,90,Temporada Normal,1.0,Grande,4944.6,1483.39,445.02
El Refugio,90_dias,90,Temporada Alta (diciembre),1.2,Chico,8866.2,1329.92,265.98
El Refugio,90_dias,90,Temporada Alta (diciembre),1.2,Mediano,14805.3,2961.05,888.32
El Refugio,90_dias,90,Temporada Alta (diciembre),1.2,Grande,5933.5,1780.06,534.02
Jurica,7_dias,7,Temporada Baja (cuesta enero),0.85,Chico,363.3,54.49,10.9
Jurica,7_dias,7,Temporada Baja (cuesta enero),0.85,Mediano,606.6,121.33,36.4
Jurica,7_dias,7,Temporada Baja (cuesta enero),0.85,Grande,243.1,72.94,21.88
Jurica,7_dias,7,Temporada Normal,1.0,Chico,427.4,64.11,12.82
Jurica,7_dias,7,Temporada Normal,1.0,Mediano,713.7,142.74,42.82
Jurica,7_dias,7,Temporada Normal,1.0,Grande,286.0,85.81,25.74
Jurica,7_dias,7,Temporada Alta (diciembre),1.2,Chico,512.9,76.93,15.39
Jurica,7_dias,7,Temporada Alta (diciembre),1.2,Mediano,856.4,171.29,51.39
Jurica,7_dias,7,Temporada Alta (diciembre),1.2,Grande,343.2,102.97,30.89
Jurica,30_dias,30,Temporada Baja (cuesta enero),0.85,Chico,1557.0,233.54,46.71
Jurica,30_dias,30,Temporada Baja (cuesta enero),0.85,Mediano,2599.9,519.98,156.0
Jurica,30_dias,30,Temporada Baja (cuesta enero),0.85,Grande,1042.0,312.59,93.78
Jurica,30_dias,30,Temporada Normal,1.0,Chico,1831.7,274.76,54.95
Jurica,30_dias,30,Temporada Normal,1.0,Mediano,3058.7,611.75,183.52
Jurica,30_dias,30,Temporada Normal,1.0,Grande,1225.9,367.76,110.33
Jurica,30_dias,30,Temporada Alta (diciembre),1.2,Chico,2198.1,329.71,65.94
Jurica,30_dias,30,Temporada Alta (diciembre),1.2,Mediano,3670.5,734.1,220.23
Jurica,30_dias,30,Temporada Alta (diciembre),1.2,Grande,1471.0,441.31,132.39
Jurica,90_dias,90,Temporada Baja (cuesta enero),0.85,Chico,4670.9,700.63,140.13
Jurica,90_dias,90,Temporada Baja (cuesta enero),0.85,Mediano,7799.8,1559.95,467.99
Jurica,90_dias,90,Temporada Baja (cuesta enero),0.85,Grande,3125.9,937.78,281.33
Jurica,90_dias,90,Temporada Normal,1.0,Chico,5495.2,824.28,164.86
Jurica,90_dias,90,Temporada Normal,1.0,Mediano,9176.2,1835.24,550.57
Jurica,90_dias,90,Temporada Normal,1.0,Grande,3677.6,1103.27,330.98
Jurica,90_dias,90,Temporada Alta (diciembre),1.2,Chico,6594.2,989.13,197.83
Jurica,90_dias,90,Temporada Alta (diciembre),1.2,Mediano,11011.4,2202.29,660.69
Jurica,90_dias,90,Temporada Alta (diciembre),1.2,Grande,4413.1,1323.92,397.18
Juriquilla,7_dias,7,Temporada Baja (cuesta enero),0.85,Chico,611.2,91.69,18.34
Juriquilla,7_dias,7,Temporada Baja (cuesta enero),0.85,Mediano,1020.7,204.14,61.24
Juriquilla,7_dias,7,Temporada Baja (cuesta enero),0.85,Grande,409.1,122.72,36.82
Juriquilla,7_dias,7,Temporada Normal,1.0,Chico,719.1,107.87,21.57
Juriquilla,7_dias,7,Temporada Normal,1.0,Mediano,1200.8,240.16,72.05
Juriquilla,7_dias,7,Temporada Normal,1.0,Grande,481.2,144.37,43.31
Juriquilla,7_dias,7,Temporada Alta (diciembre),1.2,Chico,862.9,129.44,25.89
Juriquilla,7_dias,7,Temporada Alta (diciembre),1.2,Mediano,1441.0,288.19,86.46
Juriquilla,7_dias,7,Temporada Alta (diciembre),1.2,Grande,577.5,173.25,51.97
Juriquilla,30_dias,30,Temporada Baja (cuesta enero),0.85,Chico,2619.6,392.94,78.59
Juriquilla,30_dias,30,Temporada Baja (cuesta enero),0.85,Mediano,4374.4,874.87,262.46
Juriquilla,30_dias,30,Temporada Baja (cuesta enero),0.85,Grande,1753.1,525.94,157.78
Juriquilla,30_dias,30,Temporada Normal,1.0,Chico,3081.9,462.28,92.46
Juriquilla,30_dias,30,Temporada Normal,1.0,Mediano,5146.3,1029.26,308.78
Juriquilla,30_dias,30,Temporada Normal,1.0,Grande,2062.5,618.75,185.62
Juriquilla,30_dias,30,Temporada Alta (diciembre),1.2,Chico,3698.2,554.74,110.95
Juriquilla,30_dias,30,Temporada Alta (diciembre),1.2,Mediano,6175.6,1235.11,370.53
Juriquilla,30_dias,30,Temporada Alta (diciembre),1.2,Grande,2475.0,742.5,222.75
Juriquilla,90_dias,90,Temporada Baja (cuesta enero),0.85,Chico,7858.8,1178.81,235.76
Juriquilla,90_dias,90,Temporada Baja (cuesta enero),0.85,Mediano,13123.1,2624.61,787.38
Juriquilla,90_dias,90,Temporada Baja (cuesta enero),0.85,Grande,5259.4,1577.81,473.34
Juriquilla,90_dias,90,Temporada Normal,1.0,Chico,9245.6,1386.84,277.37
Juriquilla,90_dias,90,Temporada Normal,1.0,Mediano,15438.9,3087.78,926.33
Juriquilla,90_dias,90,Temporada Normal,1.0,Grande,6187.5,1856.24,556.87
Juriquilla,90_dias,90,Temporada Alta (diciembre),1.2,Chico,11094.7,1664.21,332.84
Juriquilla,90_dias,90,Temporada Alta (diciembre),1.2,Mediano,18526.7,3705.33,1111.6
Juriquilla,90_dias,90,Temporada Alta (diciembre),1.2,Grande,7425.0,2227.49,668.25
